"ID_lambea","Familia","Variante","Categoría_web","Nombre_completo","SKU_propuesto","Descripción_corta","Precio_desde_EUR","Precio_hasta_EUR","Formatos","Valoración","Num_valoraciones","Código_toxicología","Instrucciones_uso","Usos_principales","Aplicaciones","Promo_3x2","URL_web_oficial","Carpeta_local","Carpeta_existe","Ficha_producto_md","PDF_ficha_técnica","Num_imágenes_local","Envío_península","Envío_baleares","Bestseller","Notas"
"plastilam-caravaning","PLASTILAM","caravaning","Caravaning","PLASTILAM CARAVANING","LAM-PLAS-CAR","Pulimento para plásticos. Restaura faros, ventanillas y plásticos.","10.5","63.0","1 kg","","","","","Pulido faros; Restauración plásticos; Limpieza ventanillas","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/plastilam-caravaning-pulimento-para-plasticos-limpia-ventanillas-faros-demas-plasticos-1-kg-caravana-pasta-pulir-caravana/","02-limpieza-caravanas/13-plastilam-caravaning","Sí","Sí","Sí","8","Gratis","~€4","No",""
"plastilam-generico","PLASTILAM","generico","Genérico","PLASTILAM GENÉRICO","LAM-PLAS-GEN","Pulimento para plásticos. Restaura faros, ventanillas y plásticos.","10.5","63.0","1 kg","","","","","Pulido faros; Restauración plásticos; Limpieza ventanillas","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/plastilam-pulimento-para-plasticos-1-kg-pasta-pulir-plasticos-faros/","03-industriales/13-plastilam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"proteclam-nautico","PROTECLAM","nautico","Náutico","PROTECLAM NÁUTICO","LAM-PROT-NAU","Limpiador y abrillantador con siliconas. Anti-huella y repelente del polvo.","14.7","569.5","500 ml | 1 L | 5 L | 25 L","5.0","3","180380/LAM","Pulverizar uniformemente sobre la superficie a ~20 cm. Esperar unos minutos. Pasar paño suave.","Abrillantado superficies; Protección anti-huella; Repelente polvo","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/proteclam-nautico-limpiador-y-abrillantador-con-siliconas-para-superficies-lisas-y-satina-repelente-polvodas-1-litro/","01-limpieza-barcos/07-proteclam-nautico","Sí","Sí","Sí","4","Gratis","~€4","No",""
"proteclam-generico","PROTECLAM","generico","Genérico","PROTECLAM GENÉRICO","LAM-PROT-GEN","Limpiador y abrillantador con siliconas. Anti-huella y repelente del polvo.","14.7","569.5","500 ml | 1 L | 5 L | 25 L","5.0","3","180380/LAM","Pulverizar uniformemente sobre la superficie a ~20 cm. Esperar unos minutos. Pasar paño suave.","Abrillantado superficies; Protección anti-huella; Repelente polvo","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/proteclam-limpiador-y-abrillantador-con-siliconas-para-superficies-lisas-y-satinadas-1-litro/","03-industriales/06-proteclam-industrial","Sí","Sí","Sí","5","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"proteclam-caravaning","PROTECLAM","caravaning","Caravaning","PROTECLAM CARAVANING","LAM-PROT-CAR","Limpiador y abrillantador con siliconas. Anti-huella y repelente del polvo.","14.7","569.5","500 ml | 1 L | 5 L | 25 L","5.0","3","180380/LAM","Pulverizar uniformemente sobre la superficie a ~20 cm. Esperar unos minutos. Pasar paño suave.","Abrillantado superficies; Protección anti-huella; Repelente polvo","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/limpiador-y-abrillantador-repelente-del-polvo/","02-limpieza-caravanas/07-proteclam-caravaning","Sí","Sí","Sí","3","Gratis","~€4","No",""
"pulimento_superbrillo-nautico","PULIMENTO SUPERBRILLO","nautico","Náutico","PULIMENTO SUPERBRILLO NÁUTICO","LAM-PUL-NAU","Pulimento para metales a mano. Brillo espejo.","7.9","84.0","500 g","","","","","Pulido metales a mano; Brillo espejo; Eliminar velos metálicos","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/pulimento-superbrillo-nautico-para-metales-a-mano-pule-limpia-abrillanta-elimina-velos-de-todo-tipo-de-metales-dejando-brillo-espejo-500-gr-pasta-barco/","01-limpieza-barcos/13-pulimento-superbrillo-mano","Sí","Sí","Sí","1","Gratis","~€4","No",""
"pulimento_superbrillo-caravaning","PULIMENTO SUPERBRILLO","caravaning","Caravaning","PULIMENTO SUPERBRILLO CARAVANING","LAM-PUL-CAR","Pulimento para metales a mano. Brillo espejo.","7.9","84.0","500 g","","","","","Pulido metales a mano; Brillo espejo; Eliminar velos metálicos","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/pulimento-superbrillo-caravaning-para-metales-a-mano-pule-limpia-abrillanta-elimina-velos-de-todo-tipo-de-metales-dejando-brillo-espejo-500-gr-pasta-caravana/","02-limpieza-caravanas/12-pulimento-superbrillo-mano","Sí","Sí","Sí","15","Gratis","~€4","No",""
"pulimento_superbrillo-generico","PULIMENTO SUPERBRILLO","generico","Genérico","PULIMENTO SUPERBRILLO GENÉRICO","LAM-PUL-GEN","Pulimento para metales a mano. Brillo espejo.","7.9","84.0","500 g","","","","","Pulido metales a mano; Brillo espejo; Eliminar velos metálicos","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/pasta-de-pulir-pulimento-superbrillo-para-metales-a-mano-pule-limpia-abrillanta-elimina-velos-de-todo-tipo-de-metales-dejando-brillo-espejo-500-gr/","03-industriales/12-pulimento-superbrillo-mano","Sí","Sí","Sí","7","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"tapilam-nautico","TAPILAM","nautico","Náutico","TAPILAM NÁUTICO","LAM-TAP-NAU","Limpiador concentrado para moquetas y tapicerías","17.9","380.37","1 L | 5 L | 25 L","5.0","2","DRP19-0005578","Manual: diluir 1:10, aplicar con esponja/cepillo. Máquina: diluir 1:15. Generar espuma, dejar secar y aspirar residuos.","Limpieza moquetas; Limpieza tapicerías; Limpieza asientos barco","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/tapilam-nautico-limpiador-para-moquetas-y-tapicerias-formula-especial-nautica-1-litro-concentrado/","01-limpieza-barcos/09-tapilam-nautico","Sí","Sí","Sí","5","Gratis","~€4","No",""
"tapilam-caravaning","TAPILAM","caravaning","Caravaning","TAPILAM CARAVANING","LAM-TAP-CAR","Limpiador concentrado para moquetas y tapicerías","17.9","380.37","1 L | 5 L | 25 L","5.0","2","DRP19-0005578","Manual: diluir 1:10, aplicar con esponja/cepillo. Máquina: diluir 1:15. Generar espuma, dejar secar y aspirar residuos.","Limpieza moquetas; Limpieza tapicerías; Limpieza asientos barco","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/tapilam-caravaning-limpiador-para-moquetas-y-tapicerias-formula-especial-caravana-1-litro/","02-limpieza-caravanas/08-tapilam-caravaning","Sí","Sí","Sí","0","Gratis","~€4","No",""
